TEMPO;PROCESSO;PAGINA;ACAO
20;10;16;SAIU
20;10;17;SAIU
20;10;18;SAIU
20;10;19;SAIU
20;10;20;SAIU
20;10;21;SAIU
20;10;22;SAIU
20;10;23;SAIU
20;10;24;SAIU
20;10;25;SAIU
20;10;26;SAIU
20;11;27;SAIU
20;11;28;SAIU
20;11;55;SAIU
20;11;56;SAIU
20;11;57;SAIU
20;11;58;SAIU
20;12;0;ENTROU
20;12;1;ENTROU
20;12;2;ENTROU
20;12;3;ENTROU
20;12;4;ENTROU
20;12;5;ENTROU
20;12;6;ENTROU
20;12;7;ENTROU
20;12;8;ENTROU
20;12;9;ENTROU
20;12;10;ENTROU
20;12;11;ENTROU
20;13;12;ENTROU
20;13;13;ENTROU
20;13;14;ENTROU
20;13;15;ENTROU
20;13;16;ENTROU
20;14;17;ENTROU
20;14;18;ENTROU
20;14;19;ENTROU
20;14;20;ENTROU
20;14;21;ENTROU
20;14;22;ENTROU
20;15;23;ENTROU
20;15;24;ENTROU
20;15;25;ENTROU
20;15;26;ENTROU
20;15;27;ENTROU
20;15;28;ENTROU
20;15;55;ENTROU
24;14;17;SAIU
24;14;18;SAIU
24;14;19;SAIU
24;14;20;SAIU
24;14;21;SAIU
24;14;22;SAIU
24;15;23;SAIU
24;15;24;SAIU
24;15;25;SAIU
24;15;26;SAIU
24;15;27;SAIU
24;15;28;SAIU
24;15;55;SAIU
24;16;17;ENTROU
24;16;18;ENTROU
24;16;19;ENTROU
24;16;20;ENTROU
24;16;21;ENTROU
24;16;22;ENTROU
24;16;23;ENTROU
24;16;24;ENTROU
24;16;25;ENTROU
24;16;26;ENTROU
24;16;27;ENTROU
24;16;28;ENTROU
25;12;0;SAIU
25;12;1;SAIU
25;12;2;SAIU
25;12;3;SAIU
25;12;4;SAIU
25;12;5;SAIU
25;12;6;SAIU
25;12;7;SAIU
25;12;8;SAIU
25;12;9;SAIU
25;12;10;SAIU
25;12;11;SAIU
25;13;12;SAIU
25;13;13;SAIU
25;13;14;SAIU
25;13;15;SAIU
25;13;16;SAIU
25;17;0;ENTROU
25;17;1;ENTROU
25;17;2;ENTROU
25;17;3;ENTROU
